Status,Heat,Plan Grade,Produced Grade,Produced Grade Rev Name,Produced Grade Description,Produced Grade Steelmaking Practice,Plan Date,Prod Date,Plan Weight,Plan Slab Dimensions 1,Plan Slab Dimensions 2,Melter,Melt Supervisor,EAF Start Time,EAF Power On Time,EAF Total Power On,EAF Total KWH,Tap Tons L2,Tap Tons Calc,Tap Time,Tap Temp,Tap Ladle,Cast Ladle,Tap Ladle Heat Count,EAF Comments,LMF,LMF Start Time,LMF End Time,LMF Total Power On,LMF Total Processing,LMF Initial Slag Depth,LMF Final Slag Depth,LMF Total KWH,LMF Last Temp,Turret Arrived Time,Caster Start Time,Caster End Time,Completed Time,Approved Time,Head Crop Length Strand-1,Head Crop Length Strand-2,Tail Crop Length Strand-1,Tail Crop Length Strand-2,Macro Edge Test Required Strand-1,Macro Edge Test Required Strand-2,Ladle Loss,Tundish Loss,LMF Operator,WO#,EAF Part#,Slab Part Nbr 1,Plan Slab Width 1,Plan Slab Length 1,Plan Notes 1,Slab Part Nbr 2,Plan Slab Width 2,Plan Slab Length 2,Plan Notes 2,Schedule Group,Schedule Seq,EAF Shell Life,EAF Bottom Life,EAF Heel Weight,EAF Celox1 C,EAF Celox1 O2,EAF Celox1 Temp,EAF Celox2 C,EAF Celox2 O2,EAF Celox2 Temp,EAF Celox3 C,EAF Celox3 O2,EAF Celox3 Temp,EAF Celox4 C,EAF Celox4 O2,EAF Celox4 Temp,EAF Delay Minutes,EAF Delay Description,LMF End Weight,LMF Start Weight,LMF Celox1 C,LMF Celox1 O2,LMF Celox1 Temp,LMF Celox2 C,LMF Celox2 O2,LMF Celox2 Temp,LMF Celox3 C,LMF Celox3 O2,LMF Celox3 Temp,LMF Celox4 C,LMF Celox4 O2,LMF Celox4 Temp,LMF Start Temp,LMF Hydras 1,LMF Hydras 2,LMF Hydras 3,LMF Delay Minutes,LMF Delay Description,LMF Comments,Cast Seq,Caster Crew,Heats On Tundish,Tundish Car,Caster Delay Minutes,Caster Delay Description,Caster Comments,Ladle Open Time,Ladle Close Time,Ladle Free Open,Caster Spray Plan 1,Caster Spray Plan 2,Caster Hydras1 H,Caster Hydras2 H,Caster Hydras3 H,Tundish Nbr,Caster Shroud Fix,Caster Lance Pipe,Shroud Life,SEN Life,Cast Speed Strand 1,Cast Speed Strand 2,SEN Heating Start Time Strand 1,SEN Heating Start Time Strand 2,Tundish Nozzle Clogging Strand 1,Tundish Nozzle Clogging Strand 2,BO Strand 1,BO Strand 2,Slide Gate Failure Strand 1,Slide Gate Failure Strand 2,Ladle Nozzle Clogging,Shroud Back Fire,Mold Strand 1,Mold Strand 2,QC Strand 1,QC Strand 2,Support Roll 1,Support Roll 2,Tundish Temp 1,Tundish Temp 2,Tundish Temp 3,Mold Top Width 1,Mold Top Width 2,Mold Begin Taper East 1,Mold Begin Taper East 2,Mold Begin Taper West 1,Mold Begin Taper West 2,Mold End Cap Taper East 1,Mold End Cap Taper East 2,Mold End Cap Taper West 1,Mold End Cap Taper West 2,Mold DB Head Size 1,Mold DB Head Size 2,Mold Cold Width 1,Mold Cold Width 2,Total Prime Slab Tons,Total Crop Tons,Loss Tons,Start-End Tundish Adj Tons,Total Cut and Scale Tons,Total Cast Tons,Caster Yield,Prod Trial,EAF Trial Notes,LMF Trial Notes,Caster Trial Notes,Ladle Shroud Gaskets,Withdrawal,Withdrawal Time,Withdrawal Capoff UnScheduled,Withdrawal Dept Related,Withdrawal Reason,Caster LMF Order Temp,Liquidus,Tundish Superheat 1,Tundish Superheat 2,Tundish Superheat 3,Other Loss,BO Alarm Info Strand 1,BO Alarm Info Strand 2,BO Alarm Total Yellow Strand 1,BO Alarm Total Yellow Strand 2,BO Alarm Total Red Strand 1,BO Alarm Total Red Strand 2,Cust Heat Number,Sales Order,LMFFeO,Requires VTD,Superheat,VTD Unit Number,VTD Visit Number,VTD Treatment,VTD Start Time,VTD End Time,VTD Start Temp,VTD Last Temp,VTD Start Weight,VTD End Weight,VTD Vacuum Duration,VTD Stirring Duration,VTD Stirring Duration After Last Add,VTD Stirring N Volume,VTD Stirring Ar Volume,VTD O2 Start,VTD O2 End,VTD Delay Minutes,VTD Delay Description,VTD Comments,VTD Prod Trial Notes,VTD Hydras 1,VTD Hydras 2,VTD Hydras 3
Scheduled,S29468,7171,7171,7171,7171 (AISI 1021A Custom  for Gregory),ST-MC (0.17/0.18 - 0.21/0.22),,,,9 x 58 x 318 (285 - 328),9 x 58 x 318 (285 - 328),,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7171,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,26296,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2760,-2760,-2760,-2760,,,,,,,,,9311-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled,S29469,7171,7171,7171,7171 (AISI 1021A Custom  for Gregory),ST-MC (0.17/0.18 - 0.21/0.22),,,,9 x 58 x 318 (285 - 328),9 x 58 x 318 (285 - 328),,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7171,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,26296,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2760,-2760,-2760,-2760,,,,,,,,,9312-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled,S29470,7171,7171,7171,7171 (AISI 1021A Custom  for Gregory),ST-MC (0.17/0.18 - 0.21/0.22),,,,9 x 58 x 318 (285 - 328),9 x 58 x 318 (285 - 328),,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7171,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,26296,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2760,-2760,-2760,-2760,,,,,,,,,9312-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled,S29471,7171,7171,7171,7171 (AISI 1021A Custom  for Gregory),ST-MC (0.17/0.18 - 0.21/0.22),,,,9 x 58 x 318 (285 - 328),9 x 58 x 318 (285 - 328),,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7171,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,26296,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2760,-2760,-2760,-2760,,,,,,,,,9312-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled,S29472,7171,7171,7171,7171 (AISI 1021A Custom  for Gregory),ST-MC (0.17/0.18 - 0.21/0.22),,,,9 x 58 x 318 (285 - 328),9 x 58 x 318 (285 - 328),,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7171,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,26296,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2760,-2760,-2760,-2760,,,,,,,,,9312-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled,S28148,7171,7171,7171,7171 (AISI 1021A Custom  for Gregory),ST-MC (0.17/0.18 - 0.21/0.22),,,,9 x 58 x 318 (285 - 328),9 x 58 x 318 (285 - 328),,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7171,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,SL7171-58-R01,58.00,318.00,HRC: Std Opt;,26296,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2760,-2760,-2760,-2760,,,,,,,,,9311-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled,S28485,7604,7604,7604,7604 (HSLA Gr 55 >= 0.5"; A572-55 Type 1),MA-Peritectic,,,,9 x 61 x 377,9 x 61 x 377,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7604,SL7604-61-R06,61.00,377.00,HRC: Std Opt; Varying cutlengths,SL7604-61-R06,61.00,377.00,HRC: Std Opt; Varying cutlengths,26295,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2775,-2775,-2775,-2775,,,,,,,,,9237-3,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled,S29464,7604,7604,7604,7604 (HSLA Gr 55 >= 0.5"; A572-55 Type 1),MA-Peritectic,,,,9 x 61 x 377,9 x 61 x 377,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7604,SL7604-61-R06,61.00,377.00,HRC: Std Opt; Varying cutlengths,SL7604-61-R06,61.00,377.00,HRC: Std Opt; Varying cutlengths,26295,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2775,-2775,-2775,-2775,,,,,,,,,9237-4,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled,S29465,7604,7604,7604,7604 (HSLA Gr 55 >= 0.5"; A572-55 Type 1),MA-Peritectic,,,,9 x 61 x 377,9 x 61 x 377,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7604,SL7604-61-R06,61.00,377.00,HRC: Std Opt; Varying cutlengths,SL7604-61-R06,61.00,377.00,HRC: Std Opt; Varying cutlengths,26295,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2775,-2775,-2775,-2775,,,,,,,,,9237-4,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheduled,S29466,7604,7604,7604,7604 (HSLA Gr 55 >= 0.5"; A572-55 Type 1),MA-Peritectic,,,,9 x 61 x 301,9 x 61 x 301,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAF7604,SL7604-61-R07,61.00,301.00,HRC: Std Opt; Varying cutlengths,SL7604-61-R07,61.00,301.00,HRC: Std Opt; Varying cutlengths,26295,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.00,0,0.000000,0.000000,,,,,,,,,,,,,2775,-2775,-2775,-2775,,,,,,,,,9374-3,,,,,,,,,,,,,,,,,,,,,,,,,,
